pc4,lat,lon
2033,52.376,4.658
4208,51.834,5.012
2622,51.982,4.345
3111,51.916,4.399
9992,53.347,6.675
9457,52.983,6.609
7873,52.850,6.851
9109,53.265,6.006
8431,52.991,6.292
2593,52.086,4.342
5763,51.504,5.782
6035,51.303,5.789
3216,51.847,4.241
6659,51.879,5.470
1981,52.453,4.657
5096,51.389,5.179
1322,52.349,5.183
2312,52.161,4.493
1723,52.702,4.809
7227,52.048,6.226
1608,52.639,5.159
2521,52.064,4.319
3452,52.094,5.009
3087,51.895,4.462
9292,53.269,6.180
7396,52.279,6.091
3237,51.882,4.180
1273,52.301,5.258
4635,51.432,4.376
3251,51.807,4.027
3544,52.092,5.051
9871,53.239,6.215
8081,52.448,5.846
3225,51.833,4.162
2581,52.092,4.269
1567,52.490,4.749
3763,52.174,5.269
7949,52.688,6.267
9217,53.137,6.028
3845,52.326,5.600
9178,53.297,5.848
2612,52.018,4.364
1852,52.602,4.694
7325,52.215,6.010
5501,51.420,5.402
8144,52.437,6.193
9216,53.124,5.991
1098,52.353,4.942
8773,53.037,5.604
5812,51.505,5.948
8107,52.364,6.207
4709,51.484,4.459
8085,52.414,5.825
2678,51.977,4.249
4823,51.623,4.738
7856,52.775,6.747
5247,51.731,5.367
8456,52.968,5.977
9625,53.277,6.781
4202,51.833,4.946
4904,51.630,4.848
4882,51.484,4.650
5622,51.459,5.464
3752,52.246,5.369
1312,52.374,5.188
2533,52.050,4.290
2267,52.059,4.357
9511,53.025,6.838
3448,52.078,4.863
3846,52.358,5.633
2011,52.381,4.636
9907,53.375,6.835
4751,51.587,4.464
9727,53.205,6.550
3061,51.927,4.505
7071,51.892,6.377
4145,51.923,5.118
3927,52.074,5.539
1211,52.223,5.175
2718,52.040,4.494
3997,52.003,5.218
1617,52.685,5.133
1412,52.285,5.156
2974,51.882,4.823
2965,51.932,4.871
9915,53.368,6.775
4287,51.777,5.006
4203,51.833,4.957
5386,51.740,5.466
1488,52.542,4.798
5941,51.415,6.169
4542,51.313,3.778
7701,52.600,6.463
3119,51.922,4.394
5841,51.604,5.863
8565,52.871,5.596
5525,51.369,5.295
8637,53.109,5.692
6373,50.907,6.030
3258,51.713,4.282
4872,51.575,4.650
2342,52.177,4.455
6602,51.807,5.725
9963,53.339,6.424
3312,51.807,4.684
7251,52.105,6.318
4765,51.673,4.676
9475,53.113,6.678
6305,50.852,5.870
8814,53.189,5.604
3064,51.912,4.553
3355,51.837,4.702
9027,53.166,5.706
3922,51.989,5.486
4822,51.613,4.730
9298,53.262,6.080
6165,50.962,5.828
3811,52.156,5.388
7102,51.967,6.706
4532,51.331,3.844
6285,50.773,5.910
7734,52.506,6.369
3585,52.070,5.150
8356,52.725,5.963
5711,51.386,5.714
1095,52.367,4.952
6216,50.849,5.659
4119,51.950,5.329
4302,51.644,3.905
4383,51.457,3.571
9574,52.903,6.901
9101,53.325,6.000
2903,51.931,4.591
1075,52.352,4.859
3029,51.907,4.437
3023,51.913,4.451
1901,52.553,4.664
8403,52.978,6.039
3403,52.024,5.025
